Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
167		0.1694		0.3170		0.7550		0.5875		0.00024208
168		0.1701		0.2726		0.7582		0.6628		0.00024045
169		0.1695		0.2911		0.7592		0.6441		0.00023882
170		0.1634		0.2859		0.7680		0.6466		0.00023719
171		0.1674		0.2774		0.7589		0.6536		0.00023556
172		0.1613		0.3179		0.7710		0.6409		0.00023393
173		0.1780		0.2798		0.7357		0.6376		0.00023230
174		0.1681		0.2990		0.7554		0.6502		0.00023067
175		0.1602		0.3204		0.7731		0.6425		0.00022903
176		0.1718		0.3100		0.7465		0.6186		0.00022739
177		0.1650		0.2781		0.7616		0.6623		0.00022576
178		0.1602		0.3033		0.7722		0.6430		0.00022412
179		0.1669		0.3127		0.7613		0.6362		0.00022248
180		0.1676		0.3347		0.7580		0.6146		0.00022083
181		0.1717		0.2825		0.7452		0.6361		0.00021919
182		0.1587		0.2760		0.7736		0.6461		0.00021755
183		0.1738		0.2894		0.7533		0.6469		0.00021590
184		0.1647		0.2780		0.7638		0.6568		0.00021425
185		0.1579		0.2686		0.7722		0.6680		0.00021260
186		0.1630		0.2819		0.7601		0.6591		0.00021095
187		0.1601		0.2730		0.7692		0.6536		0.00020930
188		0.1577		0.2916		0.7739		0.6508		0.00020765
189		0.1668		0.2665		0.7637		0.6519		0.00020600
190		0.1589		0.2868		0.7718		0.6518		0.00020434
191		0.1621		0.4255		0.7632		0.6119		0.00020268
192		0.1573		0.2947		0.7747		0.6428		0.00020102
193		0.1578		0.2843		0.7703		0.6445		0.00019936
194		0.1593		0.3229		0.7696		0.6063		0.00019770
195		0.1667		0.2744		0.7584		0.6477		0.00019604
196		0.1633		0.3016		0.7592		0.6205		0.00019437
197		0.1604		0.3001		0.7675		0.6334		0.00019270
198		0.1570		0.2906		0.7731		0.6503		0.00019104
199		0.1545		0.3029		0.7778		0.6489		0.00018937
200		0.1518		0.2822		0.7810		0.6488		0.00018769
201		0.1566		0.2927		0.7679		0.6164		0.00018602
202		0.1596		0.2897		0.7685		0.6368		0.00018435
203		0.1572		0.2746		0.7719		0.6524		0.00018267
204		0.1584		0.3153		0.7710		0.6248		0.00018099
205		0.1588		0.3006		0.7708		0.6257		0.00017931
206		0.1569		0.2941		0.7743		0.6483		0.00017763
207		0.1516		0.2711		0.7819		0.6657		0.00017594
208		0.1495		0.3232		0.7832		0.6358		0.00017426
209		0.1641		0.2755		0.7581		0.6495		0.00017257
210		0.1578		0.3579		0.7685		0.6438		0.00017088
211		0.1512		0.2811		0.7807		0.6601		0.00016919
212		0.1522		0.3154		0.7812		0.6499		0.00016750
