Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
192		0.1502		0.2175		0.7616		0.6814		0.00020102
193		0.1424		0.2162		0.7745		0.6776		0.00019936
194		0.1490		0.2229		0.7665		0.6747		0.00019770
195		0.1479		0.2210		0.7604		0.6777		0.00019604
196		0.1407		0.2171		0.7768		0.6786		0.00019437
197		0.1465		0.2141		0.7693		0.6818		0.00019270
198		0.1410		0.2210		0.7777		0.6797		0.00019104
199		0.1396		0.2289		0.7785		0.6723		0.00018937
200		0.1475		0.2181		0.7560		0.6696		0.00018769
201		0.1436		0.2307		0.7727		0.6699		0.00018602
202		0.1512		0.2239		0.7602		0.6702		0.00018435
203		0.1404		0.2226		0.7753		0.6770		0.00018267
204		0.1420		0.2177		0.7721		0.6787		0.00018099
205		0.1374		0.2111		0.7809		0.6834		0.00017931
206		0.1421		0.2249		0.7705		0.6643		0.00017763
207		0.1399		0.2225		0.7787		0.6886		0.00017594
208		0.1384		0.2277		0.7773		0.6738		0.00017426
209		0.1423		0.2173		0.7705		0.6814		0.00017257
210		0.1426		0.2058		0.7682		0.6893		0.00017088
211		0.1343		0.2107		0.7845		0.6986		0.00016919
212		0.1409		0.2289		0.7692		0.6681		0.00016750
213		0.1373		0.2170		0.7823		0.6756		0.00016580
214		0.1387		0.2217		0.7803		0.6781		0.00016411
215		0.1450		0.2202		0.7670		0.6842		0.00016241
216		0.1349		0.2134		0.7835		0.6894		0.00016071
217		0.1359		0.2110		0.7802		0.6905		0.00015901
218		0.1399		0.2175		0.7732		0.6701		0.00015730
219		0.1378		0.2230		0.7790		0.6731		0.00015559
220		0.1339		0.2369		0.7857		0.6632		0.00015389
221		0.1359		0.2152		0.7763		0.6888		0.00015217
222		0.1394		0.2288		0.7779		0.6694		0.00015046
223		0.1320		0.2110		0.7899		0.6882		0.00014875
224		0.1302		0.2176		0.7923		0.6830		0.00014703
225		0.1354		0.2524		0.7796		0.6459		0.00014531
226		0.1422		0.2121		0.7680		0.6910		0.00014359
227		0.1363		0.2349		0.7724		0.6368		0.00014186
228		0.1312		0.2184		0.7884		0.6937		0.00014014
229		0.1287		0.2175		0.7951		0.6877		0.00013841
230		0.1349		0.2239		0.7883		0.6770		0.00013668
231		0.1420		0.2117		0.7705		0.6966		0.00013494
232		0.1298		0.2166		0.7925		0.6946		0.00013321
233		0.1348		0.2159		0.7829		0.6846		0.00013147
234		0.1279		0.2177		0.7953		0.6963		0.00012973
235		0.1288		0.2299		0.7959		0.6779		0.00012798
236		0.1284		0.2189		0.7939		0.6872		0.00012624
237		0.1338		0.2110		0.7848		0.6976		0.00012449
238		0.1281		0.2123		0.7938		0.6921		0.00012273
239		0.1274		0.2134		0.7945		0.6998		0.00012098
240		0.1273		0.2162		0.7979		0.6860		0.00011922
241		0.1312		0.2118		0.7860		0.6914		0.00011746
242		0.1260		0.2140		0.7980		0.6942		0.00011570
243		0.1266		0.2146		0.7945		0.6863		0.00011393
244		0.1260		0.2125		0.7994		0.6983		0.00011216
245		0.1288		0.2158		0.7886		0.6905		0.00011039
246		0.1256		0.2048		0.8000		0.6985		0.00010861
247		0.1281		0.2184		0.7887		0.6903		0.00010684
248		0.1244		0.2158		0.8013		0.7013		0.00010505
249		0.1238		0.2173		0.7996		0.6999		0.00010327
250		0.1254		0.2179		0.7986		0.6748		0.00010148
251		0.1240		0.2109		0.7997		0.6990		0.00009969
252		0.1224		0.2163		0.8037		0.6972		0.00009789
253		0.1276		0.2225		0.7944		0.6721		0.00009609
254		0.1222		0.2233		0.8027		0.6932		0.00009429
255		0.1220		0.2145		0.8031		0.7039		0.00009248
256		0.1225		0.2171		0.8031		0.7052		0.00009067
257		0.1206		0.2231		0.8072		0.6751		0.00008885
258		0.1216		0.2338		0.8043		0.6589		0.00008703
259		0.1221		0.2166		0.8034		0.7031		0.00008521
260		0.1220		0.2133		0.8018		0.6981		0.00008338
261		0.1203		0.2124		0.8057		0.6920		0.00008155
262		0.1198		0.2291		0.8078		0.6877		0.00007971
263		0.1201		0.2176		0.8075		0.6897		0.00007787
264		0.1202		0.2124		0.8082		0.7055		0.00007602
265		0.1187		0.2118		0.8093		0.6911		0.00007417
266		0.1198		0.2110		0.8075		0.7035		0.00007231
267		0.1176		0.2157		0.8093		0.6985		0.00007045
268		0.1193		0.2162		0.8060		0.6925		0.00006858
269		0.1178		0.2192		0.8105		0.6982		0.00006671
270		0.1177		0.2135		0.8100		0.6936		0.00006483
271		0.1189		0.2138		0.8065		0.6999		0.00006295
272		0.1189		0.2086		0.8087		0.7017		0.00006105
273		0.1153		0.2114		0.8147		0.7052		0.00005916
274		0.1162		0.2124		0.8125		0.7032		0.00005725
275		0.1151		0.2160		0.8137		0.7002		0.00005534
276		0.1151		0.2120		0.8141		0.7077		0.00005342
277		0.1151		0.2151		0.8144		0.7059		0.00005149
278		0.1145		0.2126		0.8145		0.7034		0.00004956
279		0.1150		0.2143		0.8142		0.6974		0.00004761
280		0.1143		0.2131		0.8154		0.7050		0.00004566
281		0.1136		0.2180		0.8157		0.6988		0.00004370
282		0.1142		0.2132		0.8151		0.7021		0.00004173
283		0.1131		0.2178		0.8171		0.7032		0.00003975
284		0.1136		0.2186		0.8147		0.6985		0.00003775
285		0.1134		0.2167		0.8171		0.7068		0.00003575
286		0.1125		0.2205		0.8179		0.6898		0.00003373
287		0.1119		0.2144		0.8192		0.7025		0.00003170
288		0.1117		0.2130		0.8206		0.7031		0.00002966
289		0.1114		0.2121		0.8199		0.7043		0.00002759
290		0.1107		0.2128		0.8212		0.7127		0.00002552
291		0.1108		0.2099		0.8212		0.7071		0.00002342
292		0.1104		0.2157		0.8224		0.7044		0.00002130
293		0.1103		0.2211		0.8216		0.7027		0.00001916
294		0.1106		0.2162		0.8205		0.7021		0.00001699
295		0.1099		0.2129		0.8215		0.7099		0.00001479
296		0.1096		0.2109		0.8227		0.7105		0.00001255
297		0.1089		0.2146		0.8235		0.7005		0.00001027
298		0.1088		0.2093		0.8247		0.7111		0.00000792
299		0.1088		0.2142		0.8240		0.7056		0.00000550
300		0.1084		0.2134		0.8247		0.7105		0.00000295
